waveform	Ch0		Gen	
t0	3/17/2021  13:06:45.102783		3/17/2021  13:06:45.102785	
delta t	5.000000E-6		5.000000E-6	

time[0]	Ch0	time[1]	Gen
3/17/2021  13:06:45.103558	2.452936E+0	3/17/2021  13:06:45.103560	1.801871E+0
3/17/2021  13:06:45.103563	2.437629E+0	3/17/2021  13:06:45.103565	1.786563E+0
3/17/2021  13:06:45.103568	2.419390E+0	3/17/2021  13:06:45.103570	1.768976E+0
3/17/2021  13:06:45.103573	2.400174E+0	3/17/2021  13:06:45.103575	1.748131E+0
3/17/2021  13:06:45.103578	2.377375E+0	3/17/2021  13:06:45.103580	1.725984E+0
3/17/2021  13:06:45.103583	2.352296E+0	3/17/2021  13:06:45.103585	1.701883E+0
3/17/2021  13:06:45.103588	2.324938E+0	3/17/2021  13:06:45.103590	1.673873E+0
3/17/2021  13:06:45.103593	2.295951E+0	3/17/2021  13:06:45.103595	1.645212E+0
3/17/2021  13:06:45.103598	2.263056E+0	3/17/2021  13:06:45.103600	1.613293E+0
3/17/2021  13:06:45.103603	2.229509E+0	3/17/2021  13:06:45.103605	1.580073E+0
3/17/2021  13:06:45.103608	2.193357E+0	3/17/2021  13:06:45.103610	1.544246E+0
3/17/2021  13:06:45.103613	2.155576E+0	3/17/2021  13:06:45.103615	1.507442E+0
3/17/2021  13:06:45.103618	2.114213E+0	3/17/2021  13:06:45.103620	1.467056E+0
3/17/2021  13:06:45.103623	2.071873E+0	3/17/2021  13:06:45.103625	1.425367E+0
3/17/2021  13:06:45.103628	2.026275E+0	3/17/2021  13:06:45.103630	1.381073E+0
3/17/2021  13:06:45.103633	1.979701E+0	3/17/2021  13:06:45.103635	1.335801E+0
3/17/2021  13:06:45.103638	1.931824E+0	3/17/2021  13:06:45.103640	1.289226E+0
3/17/2021  13:06:45.103643	1.881015E+0	3/17/2021  13:06:45.103645	1.239395E+0
3/17/2021  13:06:45.103648	1.829881E+0	3/17/2021  13:06:45.103650	1.188912E+0
3/17/2021  13:06:45.103653	1.774513E+0	3/17/2021  13:06:45.103655	1.136150E+0
3/17/2021  13:06:45.103658	1.718493E+0	3/17/2021  13:06:45.103660	1.081759E+0
3/17/2021  13:06:45.103663	1.661496E+0	3/17/2021  13:06:45.103665	1.026065E+0
3/17/2021  13:06:45.103668	1.601243E+0	3/17/2021  13:06:45.103670	9.690679E-1
3/17/2021  13:06:45.103673	1.540663E+0	3/17/2021  13:06:45.103675	9.107684E-1
3/17/2021  13:06:45.103678	1.478456E+0	3/17/2021  13:06:45.103680	8.508404E-1
3/17/2021  13:06:45.103683	1.414945E+0	3/17/2021  13:06:45.103685	7.899354E-1
3/17/2021  13:06:45.103688	1.349480E+0	3/17/2021  13:06:45.103690	7.270762E-1
3/17/2021  13:06:45.103693	1.282713E+0	3/17/2021  13:06:45.103695	6.645426E-1
3/17/2021  13:06:45.103698	1.214642E+0	3/17/2021  13:06:45.103700	6.003806E-1
3/17/2021  13:06:45.103703	1.145269E+0	3/17/2021  13:06:45.103705	5.355673E-1
3/17/2021  13:06:45.103708	1.074919E+0	3/17/2021  13:06:45.103710	4.697768E-1
3/17/2021  13:06:45.103713	1.003917E+0	3/17/2021  13:06:45.103715	4.033349E-1
3/17/2021  13:06:45.103718	9.322643E-1	3/17/2021  13:06:45.103720	3.381958E-1
3/17/2021  13:06:45.103723	8.586571E-1	3/17/2021  13:06:45.103725	2.711026E-1
