waveform	Ch0	
t0	3/17/2021  12:55:17.422861	
delta t	5.000000E-6	

time[0]	Ch0
3/17/2021  12:55:17.425321	7.373112E-2
3/17/2021  12:55:17.425326	1.525494E-1
3/17/2021  12:55:17.425331	2.297392E-1
3/17/2021  12:55:17.425336	3.085575E-1
3/17/2021  12:55:17.425341	3.870501E-1
3/17/2021  12:55:17.425346	4.639143E-1
3/17/2021  12:55:17.425351	5.398013E-1
3/17/2021  12:55:17.425356	6.160140E-1
3/17/2021  12:55:17.425361	6.912497E-1
3/17/2021  12:55:17.425366	7.674624E-1
3/17/2021  12:55:17.425371	8.404182E-1
3/17/2021  12:55:17.425376	9.150024E-1
3/17/2021  12:55:17.425381	9.869811E-1
3/17/2021  12:55:17.425386	1.057983E+0
3/17/2021  12:55:17.425391	1.128984E+0
3/17/2021  12:55:17.425396	1.198032E+0
3/17/2021  12:55:17.425401	1.266102E+0
3/17/2021  12:55:17.425406	1.332870E+0
3/17/2021  12:55:17.425411	1.398009E+0
3/17/2021  12:55:17.425416	1.462822E+0
3/17/2021  12:55:17.425421	1.525681E+0
3/17/2021  12:55:17.425426	1.586912E+0
3/17/2021  12:55:17.425431	1.645863E+0
3/17/2021  12:55:17.425436	1.703837E+0
3/17/2021  12:55:17.425441	1.761159E+0
3/17/2021  12:55:17.425446	1.814899E+0
3/17/2021  12:55:17.425451	1.867987E+0
3/17/2021  12:55:17.425456	1.919121E+0
3/17/2021  12:55:17.425461	1.967976E+0
3/17/2021  12:55:17.425466	2.015202E+0
3/17/2021  12:55:17.425471	2.061125E+0
3/17/2021  12:55:17.425476	2.103791E+0
3/17/2021  12:55:17.425481	2.145154E+0
3/17/2021  12:55:17.425486	2.183912E+0
3/17/2021  12:55:17.425491	2.220715E+0
3/17/2021  12:55:17.425496	2.255565E+0
3/17/2021  12:55:17.425501	2.287483E+0
3/17/2021  12:55:17.425506	2.318098E+0
3/17/2021  12:55:17.425511	2.346434E+0
3/17/2021  12:55:17.425516	2.371512E+0
3/17/2021  12:55:17.425521	2.394311E+0
3/17/2021  12:55:17.425526	2.416458E+0
3/17/2021  12:55:17.425531	2.433395E+0
3/17/2021  12:55:17.425536	2.449028E+0
3/17/2021  12:55:17.425541	2.463033E+0
3/17/2021  12:55:17.425546	2.474106E+0
3/17/2021  12:55:17.425551	2.483226E+0
3/17/2021  12:55:17.425556	2.489740E+0
3/17/2021  12:55:17.425561	2.493974E+0
3/17/2021  12:55:17.425566	2.494951E+0
3/17/2021  12:55:17.425571	2.493323E+0
3/17/2021  12:55:17.425576	2.491043E+0
3/17/2021  12:55:17.425581	2.483877E+0
3/17/2021  12:55:17.425586	2.475084E+0
3/17/2021  12:55:17.425591	2.464987E+0
3/17/2021  12:55:17.425596	2.451959E+0
3/17/2021  12:55:17.425601	2.436000E+0
3/17/2021  12:55:17.425606	2.419715E+0
3/17/2021  12:55:17.425611	2.397568E+0
3/17/2021  12:55:17.425616	2.374444E+0
3/17/2021  12:55:17.425621	2.349691E+0
3/17/2021  12:55:17.425626	2.322007E+0
3/17/2021  12:55:17.425631	2.292043E+0
3/17/2021  12:55:17.425636	2.260125E+0
3/17/2021  12:55:17.425641	2.225601E+0
3/17/2021  12:55:17.425646	2.189123E+0
3/17/2021  12:55:17.425651	2.150040E+0
3/17/2021  12:55:17.425656	2.110305E+0
